catprofesi,despersonalizacion,agotamiento,realizacion,Lid_total,CT_total,DEMA_riesgo,DEMA_carga,Dem_sitio,Dem_emo,Reco_total,EXT_casa,EXT_zona,inhibicion_Ac,inhibicion_(Tmp_RTA)
129,0,0,6,44,33,30,11,21,16,15,30,18,21,0.97,175.51
130,1,0,15,47,33,30,12,19,20,8,10,15,18,0.97,75.05
131,1,8,0,47,29,25,12,20,20,10,30,14,25,1.0,32.86
132,1,0,1,48,44,27,7,20,16,8,30,16,24,0.97,8.7
133,1,7,6,48,44,30,11,22,19,10,30,19,16,0.99,13.51
134,1,6,8,33,41,26,11,23,15,15,30,18,18,0.99,148.9
135,0,19,5,37,45,26,10,16,17,11,30,14,21,0.99,34.04
136,1,0,14,36,24,24,15,16,18,16,29,17,21,0.97,8.15
137,1,8,21,42,43,26,15,20,20,13,19,19,21,0.94,109.55
138,1,14,9,42,36,27,12,20,10,11,25,20,21,0.98,189.76
139,1,13,27,43,42,24,10,19,13,13,30,11,24,0.95,62.56
140,0,2,18,46,37,28,14,22,16,11,28,13,12,1.0,62.56
141,0,0,18,48,40,24,8,25,9,11,24,12,25,0.98,49.26
142,0,3,0,39,42,27,15,14,20,12,26,18,17,0.96,51.0
143,0,0,15,45,32,29,12,22,11,8,26,18,20,0.97,320.32
144,1,0,1,32,33,24,6,20,17,16,29,16,24,0.98,96.19
145,1,0,2,48,33,19,15,19,17,12,29,16,17,1.0,16.31
146,1,12,4,47,33,28,10,21,20,11,23,17,23,0.97,105.94
147,1,0,2,48,43,30,8,21,16,12,30,13,14,0.95,189.55
148,1,6,21,10,44,17,8,19,20,17,25,15,13,0.95,12.26
149,1,1,17,48,39,21,12,16,17,13,30,14,24,0.98,46.72
150,1,0,2,44,36,25,12,9,18,10,30,14,22,0.99,121.48
151,1,9,13,37,38,28,13,20,20,7,30,12,23,0.96,100.3
152,0,3,2,44,45,27,12,18,8,13,30,16,20,0.97,23.82
153,0,12,13,42,31,29,12,21,17,14,29,14,17,1.0,43.68
154,1,12,12,40,39,27,11,17,17,14,30,11,18,0.99,80.94
155,1,10,21,43,36,27,12,21,20,16,25,16,20,0.98,24.37
156,1,8,7,48,41,18,12,20,14,15,30,19,25,1.0,42.39
157,1,0,2,35,45,30,12,22,20,14,29,19,25,1.0,30.48
158,0,15,7,36,45,27,9,18,18,10,30,18,25,0.99,14.99
